"","V1","temp","temp","temp","temp","temp","temp","temp","temp","temp"
"75",2.08,2.06,2.05,2.04,2.04,1.807,1.905,2.139,2.326,2.945
"76",2.01,2,1.99,1.98,1.97,1.563,1.585,1.705,1.679,1.996
"77",1.89,1.81,1.8,1.8,1.79,1.612,1.761,1.813,1.894,2.165
"78",1.64,1.65,1.66,1.67,1.68,1.6,1.724,1.888,1.943,2.325
"79",1.63,1.65,1.66,1.68,1.68,1.695,1.913,2.164,2.232,2.647
"80",1.65,1.68,1.76,1.78,1.8,1.785,2.056,2.31,2.46,2.945
"81",1.66,1.72,1.79,1.81,1.82,1.983,2.328,2.536,2.743,3.329
"82",1.66,1.72,1.79,1.82,1.83,1.811,2.063,2.262,2.486,2.949
"83",1.66,1.72,1.8,1.82,1.83,1.871,2.092,2.304,2.514,2.978
"84",1.67,1.73,1.81,1.83,1.84,1.794,1.963,2.236,2.39,2.852
"85",1.67,1.73,1.8,1.82,1.83,1.652,1.764,1.898,2.094,2.678
"86",1.67,1.73,1.8,1.81,1.82,1.613,1.695,1.871,2.082,2.691
"87",1.65,1.72,1.77,1.78,1.79,1.578,1.738,2.04,2.232,2.949
"88",1.6,1.7,1.75,1.76,1.77,1.543,1.868,2.179,2.386,3.161
"89",1.56,1.68,1.74,1.75,1.76,1.457,1.69,1.958,2.219,2.952
"90",1.56,1.67,1.74,1.75,1.76,1.448,1.635,1.926,2.198,2.843
"91",1.57,1.67,1.74,1.75,1.76,1.518,1.786,2.009,2.279,3.088
"92",1.59,1.68,1.74,1.75,1.76,1.606,1.861,2.096,2.316,3.109
"93",1.65,1.71,1.79,1.8,1.81,1.659,1.807,1.936,2.235,2.907
"94",1.65,1.71,1.79,1.8,1.81,1.64,1.846,2.03,2.289,2.88
"95",1.65,1.71,1.79,1.8,1.81,1.644,1.744,1.989,2.154,2.772
"96",1.65,1.71,1.79,1.8,1.81,1.772,1.945,2.152,2.352,2.922
"97",1.66,1.72,1.8,1.82,1.84,1.809,2.029,2.296,2.507,3.095
"98",1.66,1.73,1.81,1.83,1.85,1.958,2.245,2.556,2.874,3.646
"99",1.66,1.73,1.81,1.83,1.85,2.036,2.365,2.687,2.893,3.631
"100",1.66,1.73,1.81,1.83,1.85,2.187,2.525,2.908,3.167,3.888
"101",1.66,1.73,1.81,1.83,1.85,2.216,2.707,2.893,3.132,3.82
"102",1.66,1.73,1.81,1.83,1.85,2.003,2.575,2.681,2.917,3.511
"103",1.66,1.73,1.81,1.83,1.85,1.985,2.337,2.652,2.904,3.434
"104",1.66,1.73,1.81,1.83,1.85,1.924,2.158,2.487,2.659,3.235
"105",1.66,1.73,1.81,1.83,1.85,1.913,2.151,2.553,2.652,3.326
"106",1.66,1.73,1.81,1.83,1.85,1.838,2.18,2.463,2.733,3.368
"107",1.66,1.73,1.81,1.83,1.85,1.722,2.099,2.378,2.619,3.288
"108",1.66,1.73,1.81,1.83,1.85,1.763,2.149,2.462,2.702,3.375
"109",1.66,1.73,1.81,1.83,1.85,1.629,2.048,2.425,2.658,3.444
"110",1.66,1.73,1.81,1.83,1.85,1.61,1.964,2.323,2.687,3.346
"111",1.65,1.72,1.81,1.82,1.85,1.712,1.969,2.251,2.65,3.3
"112",1.65,1.72,1.81,1.82,1.85,1.644,1.946,2.337,2.776,3.621
"113",1.65,1.72,1.81,1.82,1.85,1.652,2.012,2.382,2.607,3.35
"114",1.64,1.7,1.78,1.79,1.82,1.502,1.79,2.122,2.345,3.167
"115",1.64,1.7,1.78,1.79,1.82,1.51,1.788,2.143,2.371,3.076
"116",1.64,1.7,1.78,1.79,1.82,1.578,1.908,2.227,2.447,3.275
"117",1.64,1.7,1.78,1.79,1.82,1.631,1.978,2.21,2.541,3.212
"118",1.64,1.7,1.78,1.79,1.82,1.64,1.913,2.268,2.535,3.187
"119",1.64,1.71,1.79,1.82,1.87,1.571,1.858,2.251,2.523,3.183
"120",1.64,1.72,1.79,1.82,1.87,1.575,1.852,2.277,2.55,3.235
"121",1.64,1.72,1.79,1.82,1.87,1.556,1.843,2.203,2.473,3.209
