daty;WIBOR_1M;WIBOR_3M;WIBOR_6M;SWAP_1Y;SWAP_2Y;SWAP_3Y;SWAP_4Y;SWAP_5Y;SWAP_6Y;SWAP_7Y;SWAP_8Y;SWAP_9Y;SWAP_10Y
2004-03-31;5,376521739;5,493043478;5,62173913;5,89;6,256521739;6,500434783;6,637391304;6,709130435;6,736086957;6,751304348;6,74826087;6,739130435;6,726521739
2004-04-30;5,553809524;5,691904762;5,887619048;6,332;6,771904762;6,981904762;7,095714286;7,148571429;7,161904762;7,161428571;7,148571429;7,135238095;7,12
2004-05-31;5,7485;5,9935;6,2855;6,8674;7,349;7,4775;7,5135;7,513;7,4925;7,467;7,4365;7,403;7,3675
2004-06-30;5,545714286;5,910952381;6,269545455;6,862181818;7,337272727;7,415;7,43;7,416363636;7,390454545;7,358181818;7,325;7,289545455;7,252272727
2004-07-30;5,997272727;6,337272727;6,738636364;7,283181818;7,684545455;7,721818182;7,698181818;7,654545455;7,596363636;7,531818182;7,465454545;7,398636364;7,337727273
2004-08-31;6,318181818;6,583636364;6,891818182;7,358045455;7,572727273;7,609090909;7,598636364;7,568636364;7,517727273;7,455454545;7,386818182;7,315;7,243636364
2004-09-30;6,795;7,118636364;7,315909091;7,53675;7,456;7,385;7,329;7,2755;7,213;7,149;7,084;7,017;6,953
2004-10-29;6,677619048;6,886190476;7,00047619;7,149142857;7,031428571;6,979047619;6,968095238;6,953809524;6,922380952;6,888571429;6,845238095;6,797142857;6,744761905
2004-11-30;6,6895;6,81;6,8985;6,981;6,813;6,7565;6,728;6,7015;6,6655;6,6235;6,579;6,528;6,474
2004-12-31;6,707391304;6,720434783;6,71826087;6,650869565;6,437391304;6,337391304;6,287391304;6,238695652;6,193043478;6,143043478;6,096956522;6,046086957;5,993913043
2005-01-31;6,628095238;6,631428571;6,60952381;6,466190476;6,306190476;6,27;6,268571429;6,257142857;6,209047619;6,15;6,087619048;6,02047619;5,958571429
2005-02-28;6,5635;6,541;6,4465;6,15625;5,8355;5,767;5,7635;5,755;5,737;5,7135;5,688;5,6615;5,631
2005-03-31;6,368181818;6,154545455;5,945909091;5,670227273;5,431818182;5,427272727;5,460454545;5,483636364;5,492727273;5,490454545;5,485909091;5,477272727;5,464090909
2005-04-29;5,9295;5,7765;5,643333333;5,495;5,403333333;5,424285714;5,451904762;5,468571429;5,470952381;5,457142857;5,440952381;5,420952381;5,399047619
2005-05-31;5,547;5,4815;5,406;5,32375;5,2685;5,2905;5,3285;5,349;5,342;5,33;5,315;5,3015;5,286
2005-06-30;5,368181818;5,218181818;5,062727273;4,916386364;4,8128;4,813477273;4,836254545;4,847145455;4,8508;4,851054545;4,850145455;4,845131818;4,841581818
2005-07-29;4,883333333;4,680952381;4,558095238;4,504761905;4,497619048;4,546190476;4,613333333;4,65;4,661904762;4,662380952;4,664761905;4,668095238;4,66952381
2005-08-31;4,767272727;4,674090909;4,630909091;4,637272727;4,650909091;4,719090909;4,788636364;4,826818182;4,825454545;4,823181818;4,825;4,817272727;4,81
2005-09-30;4,568181818;4,513181818;4,422727273;4,358590909;4,337727273;4,404090909;4,491818182;4,538636364;4,549090909;4,546818182;4,544090909;4,541818182;4,540454545
