"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Mar. '10","3,590","3,410","3,460","3,390","-1,37%"
"Luty '10","3,640","3,420","3,450","3,390","-0,27%"
"Sty. '10","3,650","3,660","3,620","3,400","-2,67%"
"Gru. '09","3,750","3,340","3,510","3,510","6,23%"
"Lis. '09","3,530","3,350","3,500","3,320","0,28%"
"Paź. '09","3,520","3,360","3,490","3,300","-0,85%"
"Wrz. '09","3,550","3,320","3,480","3,300","2,01%"
"Sie. '09","3,480","3,420","3,480","3,310","-1,97%"
"Lip. '09","3,550","3,640","3,450","3,450","-4,05%"
"Cze. '09","3,700","3,930","3,700","3,760","-6,57%"
"Maj '09","3,960","3,540","3,800","3,750","7,32%"
"Kwi. '09","3,690","3,540","3,570","3,400","-0,27%"
"Mar. '09","3,700","4,010","3,700","3,900","-10,84%"
"Luty '09","4,150","4,330","4,150","4,180","-7,78%"
"Sty. '09","4,500","5,410","4,500","5,320","-18,92%"
"Gru. '08","5,550","6,100","5,500","6,030","-12,60%"
"Lis. '08","6,350","6,350","6,260","6,300","-2,31%"
"Paź. '08","6,500","6,160","6,400","6,300","0,00%"
