Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2012-07-31,4.91,4.92,4.91,4.91
2012-08-31,4.91,4.91,4.9,4.9
2012-09-28,4.9,4.9,4.89,4.9
2012-10-31,4.9,4.9,4.77,4.77
2012-11-30,4.76,4.76,4.51,4.51
2012-12-31,4.49,4.49,4.21,4.21
2013-01-31,4.2,4.2,4.03,4.03
2013-02-28,4.01,4.01,3.8,3.8
2013-03-29,3.8,3.8,3.38,3.39
2013-04-30,3.38,3.38,3.25,3.25
2013-05-31,3.24,3.24,3.01,3.01
2013-06-28,3,3,2.78,2.78
2013-07-31,2.75,2.75,2.63,2.63
2013-08-30,2.63,2.63,2.61,2.61
2013-09-30,2.61,2.61,2.59,2.59
2013-10-31,2.6,2.6,2.59,2.6
2013-11-29,2.6,2.6,2.59,2.6
2013-12-31,2.6,2.61,2.6,2.61
2014-01-31,2.62,2.62,2.6,2.61
2014-02-28,2.61,2.61,2.61,2.61
2014-03-31,2.61,2.61,2.61,2.61
2014-04-30,2.61,2.62,2.61,2.62
2014-05-30,2.62,2.62,2.62,2.62
2014-06-30,2.62,2.62,2.6,2.61
2014-07-31,2.61,2.61,2.6,2.6
2014-08-29,2.6,2.6,2.59,2.59
2014-09-30,2.58,2.58,2.4,2.4
2014-10-31,2.4,2.4,2,2
2014-11-28,1.98,2.08,1.95,2.08
2014-12-31,2.08,2.08,2.08,2.08
2015-01-30,2.08,2.08,2.01,2.01
2015-02-27,2.01,2.01,1.89,1.89
2015-03-31,1.87,1.87,1.64,1.64
2015-04-30,1.64,1.64,1.63,1.63
2015-05-29,1.63,1.65,1.63,1.65
2015-06-30,1.65,1.66,1.65,1.66
2015-07-31,1.66,1.66,1.66,1.66
2015-08-31,1.66,1.66,1.66,1.66
2015-09-30,1.66,1.67,1.66,1.67
2015-10-30,1.67,1.67,1.67,1.67
2015-11-30,1.67,1.67,1.67,1.67
2015-12-31,1.67,1.67,1.65,1.65
2016-01-29,1.65,1.65,1.6,1.6
2016-02-29,1.6,1.6,1.56,1.56
2016-03-31,1.56,1.56,1.56,1.56
2016-04-29,1.56,1.57,1.56,1.57
2016-05-31,1.57,1.59,1.57,1.59
2016-06-30,1.6,1.65,1.6,1.65
2016-07-29,1.65,1.65,1.65,1.65
2016-08-31,1.65,1.65,1.65,1.65
2016-09-30,1.65,1.65,1.65,1.65
2016-10-31,1.65,1.66,1.65,1.66
2016-11-30,1.66,1.66,1.66,1.66
2016-12-30,1.66,1.66,1.66,1.66
2017-01-31,1.66,1.66,1.66,1.66
2017-02-28,1.66,1.66,1.66,1.66
2017-03-31,1.66,1.66,1.66,1.66
2017-04-28,1.66,1.66,1.66,1.66
2017-05-31,1.66,1.66,1.66,1.66
2017-06-30,1.66,1.66,1.66,1.66
2017-07-31,1.66,1.66,1.66,1.66
2017-08-31,1.66,1.66,1.66,1.66
2017-09-29,1.66,1.66,1.66,1.66
2017-10-31,1.66,1.66,1.66,1.66
2017-11-30,1.66,1.66,1.66,1.66
2017-12-29,1.66,1.66,1.65,1.65
2018-01-31,1.65,1.65,1.65,1.65
2018-02-28,1.65,1.65,1.65,1.65
2018-03-30,1.65,1.65,1.64,1.64
2018-04-30,1.64,1.64,1.64,1.64
2018-05-31,1.64,1.64,1.64,1.64
2018-06-29,1.64,1.64,1.64,1.64
2018-07-31,1.64,1.64,1.64,1.64
2018-08-31,1.64,1.64,1.64,1.64
2018-09-28,1.64,1.64,1.64,1.64
2018-10-31,1.64,1.64,1.64,1.64
2018-11-30,1.64,1.64,1.64,1.64
