Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-10-31,6.69,6.89,6.69,6.88
2008-11-28,6.87,6.87,6.64,6.64
2008-12-31,6.63,6.63,5.93,5.95
2009-01-30,5.94,5.94,4.91,4.91
2009-02-27,4.87,4.87,4.56,4.56
2009-03-31,4.54,4.54,4.25,4.26
2009-04-30,4.26,4.41,4.25,4.41
2009-05-29,4.42,4.72,4.42,4.71
2009-06-30,4.73,4.77,4.62,4.62
2009-07-31,4.61,4.61,4.36,4.37
2009-08-31,4.37,4.37,4.32,4.33
2009-09-30,4.33,4.36,4.32,4.34
2009-10-30,4.35,4.35,4.3,4.31
2009-11-30,4.31,4.31,4.3,4.3
2009-12-31,4.29,4.39,4.29,4.39
2010-01-29,4.38,4.4,4.29,4.29
2010-02-26,4.28,4.3,4.23,4.25
2010-03-31,4.25,4.25,4.21,4.21
2010-04-30,4.19,4.19,4.02,4.02
2010-05-31,4.02,4.02,4,4.01
2010-06-30,4.01,4.01,3.99,4
2010-07-30,4.01,4.01,3.99,3.99
2010-08-31,3.99,4,3.99,4
2010-09-30,4,4.05,3.99,4.05
2010-10-29,4.05,4.06,4.03,4.05
2010-11-30,4.05,4.08,4.05,4.08
2010-12-31,4.11,4.16,4.11,4.16
2011-01-31,4.16,4.32,4.16,4.32
2011-02-28,4.32,4.37,4.32,4.37
2011-03-31,4.37,4.41,4.37,4.41
2011-04-29,4.42,4.51,4.42,4.5
2011-05-31,4.51,4.62,4.5,4.61
2011-06-30,4.61,4.76,4.61,4.75
2011-07-29,4.76,4.78,4.75,4.78
2011-08-31,4.78,4.85,4.78,4.85
2011-09-30,4.85,4.86,4.85,4.86
2011-10-31,4.86,4.94,4.86,4.94
2011-11-30,4.94,4.97,4.93,4.97
2011-12-30,4.97,5,4.97,5
2012-01-31,4.99,5.01,4.99,5
2012-02-29,5,5,4.97,4.98
2012-03-30,4.98,4.98,4.96,4.96
2012-04-30,4.96,4.98,4.95,4.97
