Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-10-31,6.67,6.87,6.67,6.85
2008-11-28,6.84,6.85,6.56,6.56
2008-12-31,6.55,6.55,5.86,5.88
2009-01-30,5.84,5.84,4.86,4.86
2009-02-27,4.8,4.8,4.51,4.51
2009-03-31,4.48,4.48,4.14,4.17
2009-04-30,4.16,4.3,4.14,4.3
2009-05-29,4.32,4.64,4.32,4.62
2009-06-30,4.62,4.65,4.44,4.44
2009-07-31,4.43,4.43,4.16,4.17
2009-08-31,4.16,4.18,4.15,4.18
2009-09-30,4.18,4.2,4.16,4.18
2009-10-30,4.18,4.19,4.18,4.18
2009-11-30,4.19,4.2,4.19,4.19
2009-12-31,4.19,4.27,4.19,4.27
2010-01-29,4.27,4.27,4.19,4.19
2010-02-26,4.2,4.2,4.14,4.15
2010-03-31,4.15,4.15,4.1,4.1
2010-04-30,4.05,4.05,3.86,3.86
2010-05-31,3.86,3.87,3.84,3.86
2010-06-30,3.86,3.87,3.84,3.87
2010-07-30,3.87,3.87,3.81,3.82
2010-08-31,3.81,3.82,3.8,3.81
2010-09-30,3.81,3.84,3.81,3.84
2010-10-29,3.84,3.86,3.82,3.85
2010-11-30,3.85,3.88,3.85,3.88
2010-12-31,3.89,3.95,3.89,3.95
2011-01-31,3.94,4.09,3.94,4.09
2011-02-28,4.08,4.15,4.08,4.15
2011-03-31,4.16,4.19,4.16,4.19
2011-04-29,4.2,4.3,4.2,4.3
2011-05-31,4.3,4.46,4.3,4.45
2011-06-30,4.45,4.71,4.45,4.69
2011-07-29,4.7,4.71,4.69,4.71
2011-08-31,4.71,4.73,4.71,4.72
2011-09-30,4.72,4.76,4.72,4.76
2011-10-31,4.76,4.91,4.75,4.91
2011-11-30,4.92,4.97,4.91,4.97
2011-12-30,4.97,4.99,4.97,4.99
2012-01-31,4.99,5,4.97,4.99
2012-02-29,4.99,4.99,4.96,4.96
2012-03-30,4.96,4.96,4.94,4.94
2012-04-30,4.94,4.95,4.94,4.95
2012-05-31,4.94,5.11,4.94,5.11
2012-06-29,5.11,5.13,5.11,5.13
2012-07-31,5.13,5.14,5.11,5.11
2012-08-31,5.11,5.12,4.99,4.99
2012-09-28,4.98,4.98,4.92,4.92
2012-10-31,4.92,4.92,4.73,4.73
2012-11-30,4.72,4.72,4.49,4.49
2012-12-31,4.46,4.46,4.11,4.11
2013-01-31,4.1,4.1,3.95,3.95
2013-02-28,3.94,3.94,3.73,3.73
2013-03-29,3.73,3.73,3.39,3.39
2013-04-30,3.38,3.38,3.08,3.08
2013-05-31,3.07,3.07,2.74,2.74
2013-06-28,2.74,2.76,2.73,2.73
2013-07-31,2.72,2.72,2.69,2.7
2013-08-30,2.7,2.71,2.69,2.7
2013-09-30,2.71,2.71,2.67,2.67
2013-10-31,2.67,2.68,2.66,2.66
2013-11-29,2.66,2.66,2.65,2.65
2013-12-31,2.65,2.71,2.65,2.71
2014-01-31,2.7,2.71,2.7,2.71
2014-02-28,2.71,2.71,2.71,2.71
2014-03-31,2.71,2.71,2.71,2.71
2014-04-30,2.71,2.72,2.71,2.72
2014-05-30,2.72,2.72,2.72,2.72
2014-06-30,2.72,2.72,2.68,2.68
2014-07-31,2.68,2.68,2.67,2.67
2014-08-29,2.67,2.67,2.59,2.59
2014-09-30,2.58,2.58,2.28,2.28
2014-10-31,2.27,2.27,1.96,1.96
2014-11-28,1.95,2.06,1.94,2.06
2014-12-31,2.06,2.06,2.06,2.06
2015-01-30,2.06,2.06,2,2
2015-02-27,1.99,1.99,1.81,1.81
2015-03-31,1.81,1.81,1.65,1.65
2015-04-30,1.65,1.65,1.65,1.65
2015-05-29,1.65,1.68,1.65,1.68
2015-06-30,1.68,1.72,1.68,1.72
2015-07-31,1.72,1.72,1.72,1.72
2015-08-31,1.72,1.72,1.72,1.72
2015-09-30,1.72,1.73,1.72,1.73
2015-10-30,1.73,1.73,1.73,1.73
2015-11-30,1.73,1.73,1.73,1.73
2015-12-31,1.73,1.73,1.72,1.72
2016-01-29,1.72,1.72,1.7,1.7
2016-02-29,1.7,1.7,1.68,1.68
2016-03-31,1.68,1.68,1.67,1.67
2016-04-29,1.67,1.67,1.67,1.67
2016-05-31,1.67,1.68,1.67,1.68
2016-06-30,1.68,1.71,1.68,1.71
2016-07-29,1.71,1.71,1.71,1.71
2016-08-31,1.71,1.71,1.71,1.71
2016-09-30,1.71,1.71,1.71,1.71
2016-10-31,1.71,1.72,1.71,1.72
2016-11-30,1.72,1.73,1.72,1.73
2016-12-30,1.73,1.73,1.73,1.73
2017-01-31,1.73,1.73,1.73,1.73
2017-02-28,1.73,1.73,1.73,1.73
2017-03-31,1.73,1.73,1.73,1.73
2017-04-28,1.73,1.73,1.73,1.73
2017-05-31,1.73,1.73,1.73,1.73
2017-06-30,1.73,1.73,1.73,1.73
2017-07-31,1.73,1.73,1.73,1.73
2017-08-31,1.73,1.73,1.73,1.73
2017-09-29,1.73,1.73,1.73,1.73
2017-10-31,1.73,1.73,1.73,1.73
2017-11-30,1.73,1.73,1.73,1.73
2017-12-29,1.73,1.73,1.72,1.72
2018-01-31,1.72,1.72,1.72,1.72
2018-02-28,1.72,1.72,1.72,1.72
2018-03-30,1.72,1.72,1.7,1.7
2018-04-30,1.7,1.7,1.7,1.7
2018-05-31,1.7,1.7,1.7,1.7
2018-06-29,1.7,1.7,1.7,1.7
2018-07-31,1.7,1.7,1.7,1.7
2018-08-31,1.7,1.71,1.7,1.71
2018-09-28,1.71,1.72,1.71,1.72
2018-10-31,1.72,1.72,1.72,1.72
2018-11-30,1.72,1.72,1.72,1.72
